status,product_name,manufacturer,description
Enabled,CA Service Desk Manager Cloud Appliance for MSPs 5 Users,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA Service Desk Manager,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA NSM,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA ITCM,CA Technologies - Virtualization & Automation,
Enabled,CA Process Automation Connector for CA Cohesion Application Configuration Manager,CA Technologies - Virtualization & Automation,
Enabled,CA Oblicore Guarantee Appliance for MSPs 1 Contract,CA Technologies - Virtualization & Automation,
Enabled,MYSQL5 - MySQL database appliance,CA Technologies - AppLogic Appliances,
Enabled,LINUX5 - Generic Linux Servers,CA Technologies - AppLogic Appliances,
Enabled,TOMCAT - Tomcat Application Servers,CA Technologies - AppLogic Appliances,
Enabled,"WEB5, WEB64 - Web server appliances",CA Technologies - AppLogic Appliances,
Enabled,WEBx4 - Scalable Web server appliance,CA Technologies - AppLogic Appliances,
Enabled,WEBx8 - Scalable Web server appliance,CA Technologies - AppLogic Appliances,
Enabled,NAS - file server/NAS box (samba + http interface),CA Technologies - AppLogic Appliances,
Enabled,NASR - file server/NAS box with replication,CA Technologies - AppLogic Appliances,
Enabled,LOAD - Load Generator,CA Technologies - AppLogic Appliances,
Enabled,SQUID - SQUID Proxy,CA Technologies - AppLogic Appliances,
Enabled,HALB - Session-aware HTTP Load Balancer ,CA Technologies - AppLogic Appliances,
Enabled,L3LB - TCP/UDP Load Balancer,CA Technologies - AppLogic Appliances,
Enabled,PS8 - Scalable Port Switch,CA Technologies - AppLogic Appliances,
Enabled,RPL - Event Replicator,CA Technologies - AppLogic Appliances,
Enabled,URLSW - URL Port Switch,CA Technologies - AppLogic Appliances,
Enabled,IN - Input gateway with firewall (iptables),CA Technologies - AppLogic Appliances,
Enabled,INSSLR - Redundant HTTP Input Gateway with SSL Support,CA Technologies - AppLogic Appliances,
Enabled,OUT - Single host output gateway with firewall (iptables),CA Technologies - AppLogic Appliances,
Enabled,NET - Network output gateway with firewall (iptables),CA Technologies - AppLogic Appliances,
Enabled,VPN - Virtual Private Networking Appliance,CA Technologies - AppLogic Appliances,
Enabled,MON - Application monitoring appliance,CA Technologies - AppLogic Appliances,
Enabled,LUX5 - Generic Linux Appliance,CA Technologies - AppLogic Appliances,
Enabled,INSSL - HTTP gateway with SSL support,CA Technologies - AppLogic Appliances,
Enabled,MYSQL64 - MySQL 64-bit database appliance,CA Technologies - AppLogic Appliances,
Enabled,PGSQL64 - PostgreSQL database appliance,CA Technologies - AppLogic Appliances,
Enabled,WEB4 - Web server appliance,CA Technologies - AppLogic Appliances,
Enabled,MYSQLR - MySQL Database Appliance Suitable for Replication,CA Technologies - AppLogic Appliances,
Enabled,TOMCAT64 - Tomcat Application Servers,CA Technologies - AppLogic Appliances,
Enabled,LINUX64 - Generic Linux Servers,CA Technologies - AppLogic Appliances,
Enabled,LUX64 - Generic Linux Appliance,CA Technologies - AppLogic Appliances,
Enabled,ROR - Ruby-on-Rails Application Server,CA Technologies - AppLogic Appliances,
Enabled,JBOSS64 - JBoss Application Server,CA Technologies - AppLogic Appliances,
Enabled,JBOSS - JBoss Application Server,CA Technologies - AppLogic Appliances,
Enabled,MTA - Mail Transport Agent,CA Technologies - AppLogic Appliances,
Enabled,ORACLE - ORACLE Database Appliance,CA Technologies - AppLogic Appliances,
Enabled,Cloud Control Panel (CCP) 3.0,DNS Europe,
