status,product_name,manufacturer,description
Enabled,CA Service Desk Manager Cloud Appliance for MSPs 5 Users,CA Technologies - Virtualization & Automation,"<p class=""Body"">IT is part of almost everything a business does these days, whether that’s supporting internal processes or servicing their customers. When IT services are unavailable, the impact can be costly and damaging.  With the proliferation of IT throughout the business comes an increase in incident volumes to the Service Desk, but not necessarily with a corresponding increase in staff.  One way to solve this conundrum is by empowering the end-users to solve their own problems. </p>
<p class=""Body"">Unlike the competition, CA Service Desk Manager offers Support Automation so end-users can resolve their own issues without having to follow cumbersome step-by-step instructions by using knowledge article scripts. Only CA enables support staff to remotely diagnose and resolve desktop issues behind the scenes, so users can remain productive while their issues are being resolved.  Analysts can also engage in chat sessions with end-users to enable more efficient problem-solving.  All activity is automatically captured in the audit log for the incident or request.</p>
<p>CA Service Desk Manager leads the market with 15 certified ITIL v3 processes, as verified through the PinkVERIFY toolset 3.1, and the Office of Government Commerce ITIL Software Scheme (OGC ISS).</p>

This offering is limited to a one year term and may be available for a single upfront payment or 12 monthly payments as set forth herein.  This offering does NOT include a perpetual license."
Enabled,CA Process Automation Connector for CA Service Desk Manager,CA Technologies - Virtualization & Automation,"CA Process Automation Connector for CA Service Desk Manager ® makes integration with and orchestration of CA Service Desk Manager ® easy, straightforward, and quick.  When CA Service Desk Manager is integrated into automated IT processes, incidents can be automatically remediated saving time and improving SLAs.  Furthermore, incidents can be automatically enriched, change requirements satisfied more quickly, and data collection for problem management more consistently collected.  In short, IT becomes better while delivering and managing IT becomes easier and less costly."
Enabled,CA Process Automation Connector for CA NSM,CA Technologies - Virtualization & Automation,"CA Process Automation Connector for CA NSM ® makes integration with and orchestration of CA NSM ® easy, straightforward, and quick.  When CA NSM is integrated into automated IT processes, incidents can be automatically remediated saving time and improving SLAs.  Furthermore, incidents can be automatically enriched, change requirements satisfied more quickly, and data collection for problem management more consistently collected.  In short, IT becomes better while delivering and managing IT becomes easier and less costly."
Enabled,CA Process Automation Connector for CA ITCM,CA Technologies - Virtualization & Automation,"The CA Connector for CA ITCM makes integration with and orchestration of CA ITCM easy, straightforward, and quick so IT can integrate ITCM with other steps in an end to end IT process."
Enabled,CA Process Automation Connector for CA Cohesion Application Configuration Manager,CA Technologies - Virtualization & Automation,"The CA Process Automation Connector for CA Cohesion ACM ® makes integration with and orchestration of CA Cohesion ACM® easy, straightforward, and quick so IT can use configuration data to drive end to end IT processes.  This makes IT processes more robust, more valuable, and more data driven than ever before; which means, IT gets things done right, fast, and with unprecedented flexibility and control."
Enabled,CA Oblicore Guarantee Appliance for MSPs 1 Contract,CA Technologies - Virtualization & Automation,"<p>CA Oblicore Guarantee offers a comprehensive, scalable platform that helps you to manage your customers’ service level obligations.</p>
<p class=""Body"">Whether you’re ready to implement service level management for the first time, or replacing a customized reporting solution, CA Technologies has powerful out-of-the-box functionality to help get you up and running quickly.</p>
<p>CA Oblicore Guarantee’s unique infrastructure-agnostic approach is designed to enable you to monitor and report service performance utilizing the infrastructure components (e.g., hardware, applications, network monitoring tools) that you already have in place, regardless of the vendor.</p>
<p>The solution enables the company to manage both traditional and cloud-based services by helping to understand which services are currently running in your environment, tracking both service performance and how the service level agreement performance and comparing with other, internal and external alternatives.</p>

This offering is limited to a one year term and may be available for a single upfront payment or 12 monthly payments as set forth herein.  This offering does NOT include a perpetual license."
Enabled,MYSQL5 - MySQL database appliance,CA Technologies - AppLogic Appliances,"<p>MYSQL is a database appliance based on the MySQL database engine (http://www.mysql.org). It provides an easy way to add a database to any application. MYSQL stores the database on an application-defined volume that can be configured on each MYSQL instance. MYSQL automatically creates an empty database when it starts on an empty volume.</p>
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time."
Enabled,LINUX5 - Generic Linux Servers,CA Technologies - AppLogic Appliances,"LINUX5 and LINUX64 are general server appliances. They may be branched to make new server appliances: singletons or server classes.
<br><BR>
Each one includes a reasonably complete installation of its OS, including the GCC compiler if available. This allows installing and building software on the branched appliances.
<br><BR>
The generic server appliances are designed to be used in two ways:
<br><BR>
As a customized server, by branching the base class to form singleton and modifying its class volume appropriately.
<br><BR>
As a template for building other server appliances, by using it as a base to create new application-specific or global catalog classes.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><BR>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatGenericLinux.html"" target=""_blank"">LINUX5, LINUX64: Generic Linux Servers Documentation</a>"
Enabled,TOMCAT - Tomcat Application Servers,CA Technologies - AppLogic Appliances,"TOMCAT is web server appliance based on the Sun Java machine and Apache Tomcat, a Java Servlet and Java Server Pages container developed under the Apache License. The main documentation for Tomcat is at tomcat.apache.org. Tomcat provides standards-compliant support for Servlets and JSPs. Tomcat can work as standalone web server or as application server.
<br><br>
TOMCAT serves static web content, automatically deploys web applications, executes servlets and Java Server Pages from a user-configurable content volume. The paths to the documents are configurable, so that the same volume can be shared between multiple web servers and/or other appliances serving different content.
<br><br>
TOMCAT serves HTTP/1.1 and HTTP/1.0 protocol for web clients and AJP 1.3 for requests from front end servers (ex. Apache with mod_proxy_ajp).
<br><br>
Like WEBx servers, TOMCAT has three generic output terminals intended for accessing external services from scripts on the content volume. The db terminal is used for accessing a various databases; the fs terminal is used for accessing shared file storage (using NFS); and the aux terminal is created for sending e-mail messages to an SMTP server.
<br><br>
The log terminal should be used to connect TOMCAT to a shared file system where TOMCAT can store log files.
<br><br>
Configuration of the server is defined using various properties. These properties are designed to cover the most usage variants in an easy-to-configure way and in most cases only a few need to be set to a non-default values.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time."
Enabled,"WEB5, WEB64 - Web server appliances",CA Technologies - AppLogic Appliances,"WEB is a web server appliance based on the Apache open-source web server software (see http://httpd.apache.org).
<br><br>
WEB serves static web content and executes scripts from a user-configurable read-only content volume. The paths to the documents and scripts are configurable, so that the same volume can be shared between multiple web servers and/or other appliances serving different content.
<br><br>
WEB has three generic output terminals intended for accessing external services from scripts on the content volume. The db terminal is for accessing a MySQL database; the fs terminal is for accessing shared file storage (using NFS); and the aux terminal is for any auxiliary access (e.g., sending e-mail messages to a SMTP server).
<br><br>
The log terminal can be used to connect WEB to a shared file system on which WEB can store its logs.
<br><br>
The configuration of the web server is provided through properties. The properties are designed to cover the most uses in an easy-to-configure way and in most cases only a few need to be set to non-default values. Advanced configurations can be achieved through include files in the Apache configuration format, coming from the content volume. Access and options to content and script files can be further specialized through .htaccess files in the content directories.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatWebserversWeb.html"" target=""_blank"">WEB5, WEB64 - Web Server Appliances Documentation</a>
<br><br>"
Enabled,WEBx4 - Scalable Web server appliance,CA Technologies - AppLogic Appliances,"WEBx4 is a scalable web server that consists of a single load balancer (HLB) and four web servers (WEB5).
<br><br>
WEBx4 serves static web content and executes scripts from a user-configurable read-only content volume. The paths to the documents and scripts are configurable, so that the same volume can be shared between multiple web servers and/or other appliances serving different content.
<br><br>
WEBx4 has three generic output terminals intended for accessing external services from scripts on the content volume. The db terminal is for accessing a MySQL database; the fs terminal is for accessing shared file storage (using NFS); and the aux terminal is for sending e-mail messages to an SMTP server.
<br><br>
The log terminal can be used to connect WEBx4 to a shared file system on which WEBx4 can store its logs.
<br><br>
The configuration of the web server is provided through properties. The properties are designed to cover the most uses in an easy-to-configure way and in most cases only a few need to be set to non-default values. Advanced configurations can be achieved through include files in the Apache configuration format, coming from the content volume. Access and options to content and script files can be further specialized through .htaccess files in the content directories.
<br><br>
Note: This appliance is distributed with AppLogic 3.0 and is not distributed from Cloud Commons Marketplace at this time.
<br><br>
<a href=""http://doc.3tera.com/AppLogic30/en/Catalog_Ref/index.htm?toc.htm?CatWebserversWebx4.html"" target=""_blank"">WEBx4 - Scalable Web Server Appliance Documentation</a>"
